Station,Year,Month,Day,Night,DayLimit,NightLimit,Date,StationEncoded,DayExcess,NightExcess,MeanExcess,Price_per_SqFt,Price_in_Lakhs
BEN01,2011,2,0.556357152977707,-0.2435664447552624,-0.7828206224440443,-0.7544694071760254,2011-02-01,0,0.9810177579607022,0.575138358409936,0.778078058185319,0.03,145.38
BEN01,2011,3,0.556357152977707,0.1047335712447624,-0.7828206224440443,-0.7544694071760254,2011-03-01,0,0.9810177579607022,0.7589255880247312,0.8699716729927167,0.03,89.3
BEN01,2011,4,0.556357152977707,-0.0694164367552499,-0.7828206224440443,-0.7544694071760254,2011-04-01,0,0.9810177579607022,0.6670319732173337,0.8240248655890179,0.03,130.41
BEN01,2011,5,0.556357152977707,-0.2435664447552624,-0.7828206224440443,-0.7544694071760254,2011-05-01,0,0.9810177579607022,0.575138358409936,0.778078058185319,0.03,94.91
BEN01,2011,6,0.7349008533273752,-0.0694164367552499,-0.7828206224440443,-0.7544694071760254,2011-06-01,0,1.0813937878608026,0.6670319732173337,0.8742128805390681,0.03,133.05
BEN01,2011,7,0.7349008533273752,-0.0694164367552499,-0.7828206224440443,-0.7544694071760254,2011-07-01,0,1.0813937878608026,0.6670319732173337,0.8742128805390681,0.03,99.07
BEN01,2011,8,0.7349008533273752,0.2788835792447749,-0.7828206224440443,-0.7544694071760254,2011-08-01,0,1.0813937878608026,0.8508192028321289,0.9661064953464658,0.03,111.13
BEN01,2011,9,0.556357152977707,-0.2435664447552624,-0.7828206224440443,-0.7544694071760254,2011-09-01,0,0.9810177579607022,0.575138358409936,0.778078058185319,0.03,88.56
BEN01,2011,10,0.556357152977707,-0.2435664447552624,-0.7828206224440443,-0.7544694071760254,2011-10-01,0,0.9810177579607022,0.575138358409936,0.778078058185319,0.03,83.5
BEN01,2011,11,0.556357152977707,-0.2435664447552624,-0.7828206224440443,-0.7544694071760254,2011-11-01,0,0.9810177579607022,0.575138358409936,0.778078058185319,0.03,74.7
BEN01,2011,12,0.7349008533273752,0.1047335712447624,-0.7828206224440443,-0.7544694071760254,2011-12-01,0,1.0813937878608026,0.7589255880247312,0.9201596879427668,0.03,117.67
BEN02,2011,2,-1.2290798505189742,-0.9401664767553124,0.3930548923616099,0.2308194076748567,2011-02-01,1,-1.0265028400413074,-0.7113722488936305,-0.868937544467469,0.01,10.2
BEN02,2011,3,-1.050536150169306,-0.9401664767553124,0.3930548923616099,0.2308194076748567,2011-03-01,1,-0.9261268101412068,-0.7113722488936305,-0.8187495295174188,0.01,22.53
BEN02,2011,4,-1.2290798505189742,-0.9401664767553124,0.3930548923616099,0.2308194076748567,2011-04-01,1,-1.0265028400413074,-0.7113722488936305,-0.868937544467469,0.01,44.35
BEN02,2011,5,-1.050536150169306,-0.7660164687552998,0.3930548923616099,0.2308194076748567,2011-05-01,1,-0.9261268101412068,-0.6194786340862328,-0.7728027221137199,0.01,24.65
BEN02,2011,6,-0.6934487494699697,-0.5918664607552874,0.3930548923616099,0.2308194076748567,2011-06-01,1,-0.7253747503410058,-0.5275850192788353,-0.6264798848099206,0.01,27.41
BEN02,2011,7,-0.5149050491203017,-0.2435664447552624,0.3930548923616099,0.2308194076748567,2011-07-01,1,-0.6249987204409053,-0.34379778966404,-0.4843982550524727,0.01,19.2
BEN02,2011,8,-0.8719924498196379,0.1047335712447624,0.3930548923616099,0.2308194076748567,2011-08-01,1,-0.8257507802411064,-0.1600105600492448,-0.4928806701451756,0.01,59.3
BEN02,2011,9,-1.4076235508686423,-0.5918664607552874,0.3930548923616099,0.2308194076748567,2011-09-01,1,-1.1268788699414078,-0.5275850192788353,-0.8272319446101215,0.01,37.55
BEN02,2011,10,-1.5861672512183105,-0.7660164687552998,0.3930548923616099,0.2308194076748567,2011-10-01,1,-1.2272548998415085,-0.6194786340862328,-0.9233667669638704,0.01,17.62
BEN02,2011,11,-1.4076235508686423,-0.7660164687552998,0.3930548923616099,0.2308194076748567,2011-11-01,1,-1.1268788699414078,-0.6194786340862328,-0.8731787520138203,0.01,36.38
BEN02,2011,12,-1.4076235508686423,-0.7660164687552998,0.3930548923616099,0.2308194076748567,2011-12-01,1,-1.1268788699414078,-0.6194786340862328,-0.8731787520138203,0.01,48.63
BEN03,2011,2,0.1992697522783708,-1.1143164847553246,-0.7828206224440443,-0.7544694071760254,2011-02-01,2,0.7802656981605014,0.1156702843729479,0.4479679912667247,0.02,50.01
BEN03,2011,3,-1.7647109515679784,-1.985066524755387,-0.7828206224440443,-0.7544694071760254,2011-03-01,2,-0.3238706307406039,-0.34379778966404,-0.3338342102023219,0.01,27.73
BEN03,2011,4,-1.5861672512183105,-1.8109165167553745,-0.7828206224440443,-0.7544694071760254,2011-04-01,2,-0.2234946008405034,-0.2519041748566424,-0.2376993878485729,0.01,46.42
BEN03,2011,5,-1.2290798505189742,-1.636766508755362,-0.7828206224440443,-0.7544694071760254,2011-05-01,2,-0.0227425410403024,-0.1600105600492448,-0.0913765505447736,0.02,66.25
BEN03,2011,6,-0.5149050491203017,-1.1143164847553246,-0.7828206224440443,-0.7544694071760254,2011-06-01,2,0.3787615785600994,0.1156702843729479,0.2472159314665237,0.02,104.28
BEN03,2011,7,-0.6934487494699697,-1.636766508755362,-0.7828206224440443,-0.7544694071760254,2011-07-01,2,0.278385548659999,-0.1600105600492448,0.059187494305377,0.02,85.4
BEN03,2011,8,-0.8719924498196379,-1.636766508755362,-0.7828206224440443,-0.7544694071760254,2011-08-01,2,0.1780095187598984,-0.1600105600492448,0.0089994793553268,0.02,78.21
BEN03,2011,9,-1.050536150169306,-1.636766508755362,-0.7828206224440443,-0.7544694071760254,2011-09-01,2,0.077633488859798,-0.1600105600492448,-0.0411885355947234,0.02,77.22
BEN03,2011,10,-1.4076235508686423,-1.8109165167553745,-0.7828206224440443,-0.7544694071760254,2011-10-01,2,-0.1231185709404029,-0.2519041748566424,-0.1875113728985226,0.02,71.87
BEN03,2011,11,-1.4076235508686423,-1.8109165167553745,-0.7828206224440443,-0.7544694071760254,2011-11-01,2,-0.1231185709404029,-0.2519041748566424,-0.1875113728985226,0.02,83.23
BEN03,2011,12,-1.4076235508686423,-1.985066524755387,-0.7828206224440443,-0.7544694071760254,2011-12-01,2,-0.1231185709404029,-0.34379778966404,-0.2334581803022214,0.01,46.97
BEN04,2011,2,0.3778134526280389,0.1047335712447624,0.3930548923616099,0.2308194076748567,2011-02-01,3,-0.1231185709404029,-0.1600105600492448,-0.1415645654948238,0.02,31.45
BEN04,2011,3,0.3778134526280389,0.1047335712447624,0.3930548923616099,0.2308194076748567,2011-03-01,3,-0.1231185709404029,-0.1600105600492448,-0.1415645654948238,0.02,90.57
BEN04,2011,4,0.3778134526280389,0.1047335712447624,0.3930548923616099,0.2308194076748567,2011-04-01,3,-0.1231185709404029,-0.1600105600492448,-0.1415645654948238,0.02,38.98
BEN04,2011,5,0.3778134526280389,0.1047335712447624,0.3930548923616099,0.2308194076748567,2011-05-01,3,-0.1231185709404029,-0.1600105600492448,-0.1415645654948238,0.02,70.15
BEN04,2011,6,0.9134445536770432,-0.0694164367552499,0.3930548923616099,0.2308194076748567,2011-06-01,3,0.1780095187598984,-0.2519041748566424,-0.0369473280483719,0.02,73.31
BEN04,2011,7,0.9134445536770432,-0.0694164367552499,0.3930548923616099,0.2308194076748567,2011-07-01,3,0.1780095187598984,-0.2519041748566424,-0.0369473280483719,0.02,83.11
BEN04,2011,8,0.556357152977707,0.1047335712447624,0.3930548923616099,0.2308194076748567,2011-08-01,3,-0.0227425410403024,-0.1600105600492448,-0.0913765505447736,0.02,66.52
BEN04,2011,9,0.556357152977707,-0.0694164367552499,0.3930548923616099,0.2308194076748567,2011-09-01,3,-0.0227425410403024,-0.2519041748566424,-0.1373233579484724,0.02,71.0
