Price_per_SQFT,Total_Area,Baths,Price,feature_importance
-0.08197220284059277,1.0316553887960977,1.390273763978967,₹1.99 Cr,0.5703106991631155
-0.17354060671995283,4.577591183880922,3.616918813376656,₹2.25 Cr,0.5703106991631155
-0.08441946530507456,0.017728083115288732,0.27695123928012283,₹1.0 Cr,0.5703106991631155
-0.07911706329869736,2.3699109854468565,2.5035962886778114,₹3.33 Cr,0.5703106991631155
-0.13703560829143288,-0.2712773246797162,0.27695123928012283,₹48.0 L,0.5703106991631155
-0.15233099869444403,-0.28733318066832764,0.27695123928012283,₹40.0 L,0.5703106991631155
-0.09991879424679252,-0.3355007486341618,0.27695123928012283,₹60.0 L,0.5703106991631155
-0.15233099869444403,0.3227893468989051,0.27695123928012283,₹72.35 L,0.5703106991631155
-0.13703560829143288,-0.36761246061138453,0.27695123928012283,₹42.0 L,0.5703106991631155
-0.12459535743031716,-0.6124642644377082,-0.8363712854187215,₹30.0 L,0.5703106991631155
-0.135811977059192,-0.575535795663902,-0.8363712854187215,₹29.4 L,0.5703106991631155
-0.05546019280870679,0.11727439024467932,0.27695123928012283,₹1.3 Cr,0.5703106991631155
0.0499760317027167,3.774798384450353,-1.9496938101175658,₹8.5 Cr,0.5703106991631155
0.02815460806108747,-0.3371063342330229,0.27695123928012283,₹1.15 Cr,0.5703106991631155
-0.1331607760560034,-0.28412200947060534,0.27695123928012283,₹49.0 L,0.5703106991631155
-0.15069949038478953,0.015319704716997024,0.27695123928012283,₹57.0 L,0.5703106991631155
-0.17680362333926186,-0.38366831659999595,0.27695123928012283,₹25.0 L,0.5703106991631155
0.0807707510474458,0.28907204932282116,0.27695123928012283,₹2.6 Cr,0.5703106991631155
-0.09482033077912214,2.3297713454753284,2.5035962886778114,₹2.97 Cr,0.5703106991631155
-0.12255597204324901,1.236367552650893,1.390273763978967,₹1.62 Cr,0.5703106991631155
-0.098287285937138,0.2152151117752088,0.27695123928012283,₹1.08 Cr,0.5703106991631155
-0.15233099869444403,0.8446046665287752,1.390273763978967,₹1.0 Cr,0.5703106991631155
