Station,Year,Month,Day,Night,DayLimit,NightLimit,Date,StationEncoded,DayExcess,NightExcess,MeanExcess
BEN01,2011,2,0.556357152977707,-0.24356644475526243,-0.7828206224440443,-0.7544694071760254,2011-02-01,0,0.9810177579607022,0.575138358409936,0.778078058185319
BEN01,2011,3,0.556357152977707,0.10473357124476247,-0.7828206224440443,-0.7544694071760254,2011-03-01,0,0.9810177579607022,0.7589255880247312,0.8699716729927167
BEN01,2011,4,0.556357152977707,-0.06941643675524999,-0.7828206224440443,-0.7544694071760254,2011-04-01,0,0.9810177579607022,0.6670319732173337,0.8240248655890179
BEN01,2011,5,0.556357152977707,-0.24356644475526243,-0.7828206224440443,-0.7544694071760254,2011-05-01,0,0.9810177579607022,0.575138358409936,0.778078058185319
BEN01,2011,6,0.7349008533273752,-0.06941643675524999,-0.7828206224440443,-0.7544694071760254,2011-06-01,0,1.0813937878608026,0.6670319732173337,0.8742128805390681
BEN01,2011,7,0.7349008533273752,-0.06941643675524999,-0.7828206224440443,-0.7544694071760254,2011-07-01,0,1.0813937878608026,0.6670319732173337,0.8742128805390681
BEN01,2011,8,0.7349008533273752,0.2788835792447749,-0.7828206224440443,-0.7544694071760254,2011-08-01,0,1.0813937878608026,0.8508192028321289,0.9661064953464658
BEN01,2011,9,0.556357152977707,-0.24356644475526243,-0.7828206224440443,-0.7544694071760254,2011-09-01,0,0.9810177579607022,0.575138358409936,0.778078058185319
BEN01,2011,10,0.556357152977707,-0.24356644475526243,-0.7828206224440443,-0.7544694071760254,2011-10-01,0,0.9810177579607022,0.575138358409936,0.778078058185319
BEN01,2011,11,0.556357152977707,-0.24356644475526243,-0.7828206224440443,-0.7544694071760254,2011-11-01,0,0.9810177579607022,0.575138358409936,0.778078058185319
BEN01,2011,12,0.7349008533273752,0.10473357124476247,-0.7828206224440443,-0.7544694071760254,2011-12-01,0,1.0813937878608026,0.7589255880247312,0.9201596879427669
BEN02,2011,2,-1.2290798505189742,-0.9401664767553123,0.39305489236160995,0.2308194076748567,2011-02-01,1,-1.0265028400413074,-0.7113722488936305,-0.868937544467469
BEN02,2011,3,-1.050536150169306,-0.9401664767553123,0.39305489236160995,0.2308194076748567,2011-03-01,1,-0.9261268101412069,-0.7113722488936305,-0.8187495295174188
BEN02,2011,4,-1.2290798505189742,-0.9401664767553123,0.39305489236160995,0.2308194076748567,2011-04-01,1,-1.0265028400413074,-0.7113722488936305,-0.868937544467469
BEN02,2011,5,-1.050536150169306,-0.7660164687552998,0.39305489236160995,0.2308194076748567,2011-05-01,1,-0.9261268101412069,-0.6194786340862328,-0.7728027221137199
BEN02,2011,6,-0.6934487494699697,-0.5918664607552874,0.39305489236160995,0.2308194076748567,2011-06-01,1,-0.7253747503410058,-0.5275850192788353,-0.6264798848099206
BEN02,2011,7,-0.5149050491203017,-0.24356644475526243,0.39305489236160995,0.2308194076748567,2011-07-01,1,-0.6249987204409053,-0.34379778966404,-0.4843982550524727
BEN02,2011,8,-0.8719924498196379,0.10473357124476247,0.39305489236160995,0.2308194076748567,2011-08-01,1,-0.8257507802411064,-0.16001056004924483,-0.4928806701451756
BEN02,2011,9,-1.4076235508686423,-0.5918664607552874,0.39305489236160995,0.2308194076748567,2011-09-01,1,-1.1268788699414078,-0.5275850192788353,-0.8272319446101215
BEN02,2011,10,-1.5861672512183103,-0.7660164687552998,0.39305489236160995,0.2308194076748567,2011-10-01,1,-1.2272548998415083,-0.6194786340862328,-0.9233667669638705
